tipo_suelo,pH,materia_organica,conductividad,nitrogeno,fosforo,potasio,humedad,densidad,altitud,fertilidad,cultivo
4,7.54,4.56,2.95,36.22,18.45,72.68,5.1,1.03,3503.56,0,Ninguno
4,7.47,1.92,0.48,24.77,31.45,48.13,22.56,1.19,2598.78,0,Ninguno
2,4.57,4.56,1.02,29.21,27.93,137.83,36.93,1.48,3449.39,0,Ninguno
4,5.25,2.27,3.83,32.95,25.88,290.81,36.53,1.24,212.69,0,Ninguno
1,5.59,1.44,2.81,13.22,36.67,40.7,38.87,1.36,3938.11,0,Ninguno
3,8.38,3.0,3.13,22.17,18.39,199.82,28.56,1.1,440.48,0,Ninguno
1,6.8,0.98,0.93,44.0,18.97,221.65,28.59,1.67,2744.04,0,Ninguno
1,8.09,1.25,1.51,20.16,37.57,247.52,6.11,1.21,2527.9,0,Ninguno
4,4.71,4.03,3.79,25.42,13.83,178.54,25.46,1.02,3476.47,0,Ninguno
1,6.56,3.37,3.7,41.93,23.41,290.29,15.66,1.43,2980.34,0,Ninguno
2,5.13,0.95,0.61,48.87,18.74,242.76,31.87,1.46,2634.61,0,Ninguno
2,5.15,4.06,3.85,39.82,5.85,47.2,34.79,1.59,3050.92,0,Ninguno
3,5.58,4.78,0.54,7.38,35.41,239.53,25.91,1.51,1187.85,0,Ninguno
2,8.02,3.26,2.19,38.0,39.74,269.56,9.38,1.01,1001.47,0,Ninguno
1,8.35,4.77,0.97,29.82,32.35,41.15,23.78,1.63,593.66,0,Ninguno
3,7.15,0.58,1.7,10.96,21.33,63.16,26.79,1.48,2199.59,0,Ninguno
2,8.37,3.97,1.36,42.56,37.22,174.57,37.78,1.24,3151.63,0,Ninguno
2,5.9,2.56,1.02,19.86,25.11,41.36,16.53,1.48,1980.95,0,Ninguno
1,5.88,2.27,3.25,6.92,14.91,208.81,15.87,1.51,3954.86,0,Ninguno
2,6.02,4.92,2.06,7.14,23.85,168.05,24.73,1.14,529.41,0,Ninguno
4,8.38,4.45,1.75,28.88,20.09,28.91,21.79,1.07,831.97,0,Ninguno
4,8.45,3.67,2.71,40.58,14.55,26.07,39.31,1.42,31.43,0,Ninguno
4,7.04,0.52,0.27,37.7,15.27,253.9,8.35,1.11,3910.48,0,Ninguno
2,6.81,0.5,3.88,30.82,29.38,207.17,39.88,1.65,1823.68,0,Ninguno
2,5.43,2.94,1.9,37.07,8.82,36.15,14.87,1.66,1204.03,0,Ninguno
1,5.16,4.11,3.71,5.59,20.64,249.79,24.36,1.29,2855.15,0,Ninguno
1,4.53,3.11,1.89,5.64,22.53,34.49,20.31,1.39,3616.21,0,Ninguno
4,7.39,0.75,2.46,26.53,32.03,135.2,19.66,1.47,1091.8,0,Ninguno
1,4.78,1.85,2.39,5.57,35.04,219.01,12.09,1.56,1659.29,0,Ninguno
3,7.72,1.05,1.86,27.0,30.68,75.03,32.02,1.56,125.72,0,Ninguno
3,6.72,2.04,2.31,28.55,5.89,132.78,32.36,1.35,3039.13,0,Ninguno
1,7.99,0.57,0.34,49.34,29.76,133.36,35.53,1.31,1305.3,0,Ninguno
2,5.46,3.64,1.7,49.65,6.05,153.66,13.33,1.2,1093.28,0,Ninguno
4,4.56,2.99,1.3,32.81,14.58,205.1,16.99,1.14,2564.59,0,Ninguno
3,8.02,1.94,0.65,34.96,34.73,250.02,13.36,1.17,125.4,0,Ninguno
4,5.31,2.8,1.01,10.92,19.65,110.32,14.1,1.69,141.84,0,Ninguno
2,6.86,2.87,3.87,44.4,34.51,162.41,14.86,1.52,167.51,0,Ninguno
3,5.44,0.55,0.76,28.2,39.08,125.72,23.22,1.1,1150.88,0,Ninguno
4,8.3,0.75,1.71,26.98,15.99,253.0,27.74,1.15,2888.18,0,Ninguno
3,6.45,0.71,0.49,37.13,36.22,105.2,12.27,1.69,3087.57,0,Ninguno
2,5.56,3.99,1.76,32.65,7.81,191.64,25.75,1.4,374.77,0,Ninguno
3,5.15,3.37,3.71,33.85,34.53,240.47,23.45,1.24,526.88,0,Ninguno
3,7.63,3.91,3.82,18.65,28.27,229.69,13.92,1.58,2077.68,0,Ninguno
4,5.54,2.73,0.43,46.48,8.42,46.27,21.89,1.44,390.79,0,Ninguno
3,6.61,2.28,3.62,23.63,10.79,267.57,6.17,1.08,3164.16,0,Ninguno
1,5.61,0.95,2.73,47.76,31.25,129.02,30.49,1.6,1318.32,0,Ninguno
4,6.07,2.15,3.66,37.46,33.64,249.44,25.11,1.38,886.43,0,Ninguno
1,6.88,1.47,3.74,6.09,18.4,40.96,21.37,1.69,1794.12,0,Ninguno
2,8.26,2.73,2.63,37.44,27.03,93.18,15.31,1.33,358.88,0,Ninguno
3,4.97,2.78,1.9,19.68,18.09,163.22,37.12,1.05,3943.87,0,Ninguno
3,5.78,3.08,3.36,41.37,19.57,243.28,5.11,1.14,1910.2,0,Ninguno
1,4.69,1.35,2.45,8.37,33.97,174.91,29.7,1.55,1704.89,0,Ninguno
2,8.41,2.2,3.72,42.19,24.4,49.85,38.15,1.48,877.29,0,Ninguno
1,6.46,1.87,0.38,40.88,14.39,22.47,30.63,1.58,610.06,0,Ninguno
4,7.81,3.93,3.79,40.39,20.41,33.93,22.68,1.23,2597.47,0,Ninguno
1,5.66,1.9,1.82,28.43,28.04,52.01,17.27,1.29,2296.93,0,Ninguno
4,8.16,0.93,0.92,39.06,18.71,293.75,6.21,1.32,2480.06,0,Ninguno
3,7.43,2.49,1.92,23.38,28.9,220.86,5.68,1.61,1608.54,0,Ninguno
3,6.52,2.54,0.12,43.31,7.05,251.21,23.4,1.07,1401.88,0,Ninguno
4,7.69,4.23,0.44,35.14,12.46,26.03,5.78,1.02,1359.57,0,Ninguno
4,8.35,0.79,2.15,37.1,33.0,161.6,32.49,1.07,140.56,0,Ninguno
2,6.14,1.97,2.87,29.66,5.11,192.3,22.42,1.28,715.33,0,Ninguno
2,4.66,1.92,2.82,28.33,32.27,66.8,29.94,1.33,35.69,0,Ninguno
3,7.55,3.91,2.94,10.5,19.91,33.69,6.04,1.02,711.69,0,Ninguno
3,8.28,3.21,2.83,27.9,24.45,214.64,10.09,1.7,292.64,0,Ninguno
4,5.31,4.01,3.51,6.76,34.41,271.68,14.32,1.64,2454.62,0,Ninguno
2,7.56,1.23,2.18,22.43,9.53,28.31,32.93,1.02,162.32,0,Ninguno
3,4.51,1.91,2.69,7.35,22.05,165.41,6.5,1.2,476.51,0,Ninguno
2,6.24,2.86,1.94,38.48,38.35,27.58,11.23,1.31,682.3,0,Ninguno
4,6.74,3.17,0.83,16.14,15.47,121.77,6.62,1.69,1408.73,0,Ninguno
4,5.93,0.56,2.11,42.9,24.54,219.32,6.29,1.42,1123.0,0,Ninguno
2,7.52,0.9,0.74,46.24,19.27,73.78,5.76,1.37,440.0,0,Ninguno
4,4.8,3.26,2.81,25.39,23.18,30.1,11.9,1.34,2491.93,0,Ninguno
3,7.8,2.31,3.67,19.21,16.91,86.38,17.49,1.28,2694.81,0,Ninguno
4,5.78,3.61,3.75,9.58,17.26,82.53,25.77,1.05,3426.97,0,Ninguno
2,5.22,0.59,1.26,10.21,7.68,154.95,15.95,1.05,3253.29,0,Ninguno
3,5.54,3.7,0.32,14.83,6.46,121.46,9.35,1.07,643.76,0,Ninguno
4,5.17,1.3,1.63,49.31,9.36,26.5,6.08,1.37,400.49,0,Ninguno
2,4.6,1.0,1.81,32.11,36.91,269.04,9.65,1.12,47.02,0,Ninguno
4,8.01,1.76,2.14,9.29,7.66,131.2,14.43,1.23,79.24,0,Ninguno
2,7.47,4.72,0.2,32.91,20.87,44.74,19.22,1.67,1884.4,0,Ninguno
2,4.92,3.15,0.53,40.31,9.86,64.49,20.34,1.6,2990.41,0,Ninguno
3,5.32,0.89,3.01,23.38,39.22,111.48,11.81,1.16,3739.12,0,Ninguno
4,7.55,2.39,2.67,37.87,34.11,36.67,7.4,1.24,1675.21,0,Ninguno
2,6.09,0.8,2.13,26.67,12.51,287.77,23.27,1.6,2126.78,0,Ninguno
1,7.68,1.55,3.35,28.53,30.5,45.29,8.7,1.22,3224.89,0,Ninguno
4,8.12,3.35,0.94,49.02,8.21,63.18,7.37,1.66,412.92,0,Ninguno
1,7.37,1.13,2.58,15.37,19.32,244.77,18.83,1.03,1917.8,0,Ninguno
4,4.66,2.53,0.89,33.76,19.87,161.95,35.14,1.39,3763.59,0,Ninguno
2,5.69,4.81,3.2,6.59,36.84,294.92,18.1,1.3,1905.94,0,Ninguno
2,8.47,3.23,3.68,7.41,6.5,26.75,17.19,1.22,2057.61,0,Ninguno
2,6.87,1.13,0.18,38.84,26.19,43.24,29.66,1.51,2001.09,0,Ninguno
4,7.57,0.95,1.16,11.25,16.19,130.82,15.23,1.17,705.99,0,Ninguno
3,8.03,4.72,1.84,34.11,20.08,51.44,15.07,1.65,798.45,0,Ninguno
3,7.46,4.05,2.68,11.23,16.66,282.12,23.66,1.42,815.24,0,Ninguno
4,5.49,1.27,3.84,37.59,29.87,210.98,8.12,1.24,3808.21,0,Ninguno
2,4.88,4.83,2.2,35.72,20.83,254.93,19.7,1.43,403.63,0,Ninguno
3,7.01,0.86,2.06,33.28,30.43,290.33,18.94,1.49,422.95,0,Ninguno
3,7.58,0.72,0.65,23.78,31.91,221.63,10.28,1.51,2602.48,0,Ninguno
2,5.7,4.79,0.54,20.81,7.8,58.86,19.38,1.14,3054.38,0,Ninguno
2,4.93,1.47,3.59,11.35,31.57,266.14,25.89,1.05,2717.95,0,Ninguno
2,6.44,4.4,0.87,7.5,28.91,209.5,15.95,1.3,3350.22,0,Ninguno
4,8.08,4.07,0.83,18.76,28.07,66.62,28.01,1.69,782.89,0,Ninguno
3,6.84,3.13,0.32,25.98,32.91,40.43,34.05,1.22,1134.47,0,Ninguno
2,8.17,1.61,2.66,10.3,39.54,75.85,34.7,1.11,759.66,0,Ninguno
1,8.25,1.63,2.24,21.89,22.79,96.73,27.07,1.07,2202.94,0,Ninguno
3,4.77,2.55,1.72,19.84,12.05,276.63,18.23,1.02,142.89,0,Ninguno
4,6.66,1.96,3.64,24.82,33.57,79.78,15.72,1.35,3947.62,0,Ninguno
3,7.18,4.28,3.74,19.64,37.44,156.0,32.11,1.36,100.77,0,Ninguno
1,4.53,0.89,2.52,41.6,37.12,135.22,26.33,1.13,276.47,0,Ninguno
1,6.17,0.9,2.75,37.44,25.07,155.72,18.53,1.34,907.49,0,Ninguno
3,4.65,4.24,1.81,42.65,9.64,25.51,7.26,1.65,946.07,0,Ninguno
1,4.61,4.51,3.26,7.85,37.89,83.48,18.38,1.09,2256.18,0,Ninguno
3,4.65,4.86,0.29,43.77,24.79,142.93,16.03,1.08,2817.43,0,Ninguno
4,5.87,1.97,3.3,17.38,6.52,158.34,17.93,1.46,1433.24,0,Ninguno
1,6.34,4.41,2.26,34.05,31.36,54.54,34.32,1.01,3130.97,0,Ninguno
2,5.63,0.81,3.91,48.52,8.0,237.6,34.13,1.64,3401.04,0,Ninguno
4,8.4,2.53,3.76,30.86,23.79,150.8,11.86,1.11,1689.29,0,Ninguno
2,4.94,4.12,3.73,35.38,23.07,237.71,34.0,1.28,80.76,0,Ninguno
1,8.28,3.47,2.96,21.96,24.61,275.0,5.08,1.59,3264.15,0,Ninguno
3,4.71,1.05,0.58,41.7,12.75,291.4,19.55,1.33,1806.83,0,Ninguno
4,6.07,2.53,0.76,27.64,15.99,41.56,14.61,1.34,1834.51,0,Ninguno
4,6.17,4.35,2.35,6.71,34.55,223.28,17.54,1.41,911.13,0,Ninguno
1,4.78,2.08,1.89,24.69,14.21,295.74,11.73,1.56,297.12,0,Ninguno
1,7.42,3.51,3.9,19.55,12.52,182.51,31.33,1.03,1213.91,0,Ninguno
1,7.31,2.64,0.5,21.28,11.99,27.36,31.04,1.21,1271.31,0,Ninguno
3,4.58,1.78,1.93,38.27,17.17,94.09,27.79,1.09,3942.79,0,Ninguno
3,7.22,1.5,2.02,14.65,6.91,105.9,10.79,1.31,3087.0,0,Ninguno
1,7.63,3.2,1.07,7.07,19.67,78.04,29.22,1.64,954.28,0,Ninguno
1,8.33,3.31,2.23,19.01,23.81,214.75,10.31,1.29,2819.65,0,Ninguno
2,5.13,0.74,3.9,13.62,19.38,248.17,34.31,1.59,1397.44,0,Ninguno
4,5.95,4.74,0.85,8.59,13.35,196.87,23.01,1.56,513.66,0,Ninguno
1,7.24,0.93,1.94,19.85,21.2,23.14,5.81,1.02,3105.53,0,Ninguno
1,8.07,4.73,1.55,47.88,28.66,123.02,24.18,1.46,2264.6,0,Ninguno
2,7.74,0.84,2.03,38.21,38.15,79.11,36.11,1.67,432.65,0,Ninguno
2,4.7,1.01,2.74,29.91,36.0,192.6,38.27,1.45,488.45,0,Ninguno
1,8.38,1.81,1.94,15.61,20.78,60.76,22.12,1.66,3082.52,0,Ninguno
2,4.52,2.5,0.81,5.86,36.18,161.69,13.92,1.46,729.47,0,Ninguno
1,4.93,3.68,1.63,38.96,38.17,31.55,6.29,1.38,2188.63,0,Ninguno
3,8.15,0.93,1.51,18.12,6.39,175.28,27.2,1.39,1545.26,0,Ninguno
1,4.63,1.89,1.81,29.08,11.74,25.12,23.08,1.39,420.49,0,Ninguno
2,5.27,4.49,2.44,5.87,9.79,194.28,14.84,1.19,841.7,0,Ninguno
4,8.15,3.77,0.41,13.31,30.33,149.52,35.23,1.18,2473.31,0,Ninguno
4,7.14,4.68,3.75,24.03,9.37,107.02,29.01,1.14,3122.93,0,Ninguno
3,4.7,2.55,2.75,8.51,16.5,201.69,21.24,1.06,3507.7,0,Ninguno
3,5.58,2.79,2.15,43.02,16.96,54.56,5.56,1.03,1528.08,0,Ninguno
2,4.83,0.89,3.9,32.36,37.49,162.71,32.81,1.07,2996.62,0,Ninguno
2,4.53,3.56,3.86,16.59,7.1,202.82,16.01,1.25,1005.78,0,Ninguno
3,7.2,2.44,1.64,11.24,39.81,135.22,18.31,1.09,2997.52,0,Ninguno
4,4.89,2.58,1.53,23.71,39.38,170.7,15.32,1.51,2961.89,0,Ninguno
2,6.46,4.72,3.99,29.85,17.18,210.47,19.86,1.08,2805.66,0,Ninguno
3,6.76,1.03,0.43,21.01,19.47,218.77,16.32,1.44,2612.62,0,Ninguno
1,5.97,4.25,0.19,7.29,8.13,264.42,37.22,1.34,2988.8,0,Ninguno
1,7.76,0.68,1.26,34.71,30.87,72.55,32.87,1.69,1864.36,0,Ninguno
1,6.54,4.26,3.57,20.24,13.27,212.52,8.19,1.19,131.38,0,Ninguno
3,6.3,2.79,2.57,5.75,18.2,82.71,17.37,1.08,2942.15,0,Ninguno
1,5.84,1.08,3.31,24.52,25.64,24.51,31.8,1.62,3397.68,0,Ninguno
1,7.28,1.01,1.96,42.79,26.42,147.24,9.45,1.11,2102.47,0,Ninguno
1,5.32,3.57,2.71,42.77,23.47,58.76,38.36,1.43,2103.4,0,Ninguno
1,6.71,2.06,1.05,5.52,8.35,215.89,9.96,1.29,3578.54,0,Ninguno
1,5.25,1.52,3.88,31.5,31.84,281.16,16.14,1.05,524.65,0,Ninguno
2,7.54,4.57,2.33,49.73,6.91,290.81,12.4,1.41,1140.0,0,Ninguno
2,5.33,1.81,1.36,42.06,6.37,22.12,28.5,1.41,879.89,0,Ninguno
4,5.92,1.07,2.89,39.83,6.47,196.6,31.21,1.29,1629.11,0,Ninguno
2,4.82,2.17,0.79,29.76,11.01,68.19,13.81,1.1,334.19,0,Ninguno
1,7.21,4.23,2.88,43.11,15.54,26.27,6.12,1.6,2541.05,0,Ninguno
1,7.76,1.29,1.74,32.92,39.51,49.23,27.35,1.28,1010.8,0,Ninguno
3,6.64,2.86,0.38,49.7,14.69,177.15,5.11,1.13,188.83,0,Ninguno
4,5.21,0.97,1.38,11.08,9.66,280.0,22.59,1.2,1644.85,0,Ninguno
2,7.2,4.16,3.94,43.36,18.55,31.6,30.84,1.29,837.97,0,Ninguno
4,7.1,3.6,3.56,11.44,25.2,127.43,32.85,1.69,3881.53,0,Ninguno
2,8.3,4.74,3.56,47.54,36.14,121.69,17.02,1.62,3764.23,0,Ninguno
4,4.93,4.7,3.27,24.3,21.53,55.25,37.02,1.31,1576.99,0,Ninguno
2,5.58,1.83,1.64,26.4,36.78,57.93,8.73,1.56,1092.6,0,Ninguno
3,5.31,4.47,1.78,9.24,22.44,287.5,5.63,1.14,766.18,0,Ninguno
4,7.28,1.77,0.24,11.51,5.4,89.51,7.22,1.66,641.74,0,Ninguno
4,8.13,1.17,2.23,37.22,7.3,85.23,34.83,1.47,2612.87,0,Ninguno
1,5.8,3.42,3.5,7.47,34.03,76.13,33.7,1.08,1265.72,0,Ninguno
2,5.79,1.17,0.53,31.16,23.98,82.46,31.89,1.35,2671.37,0,Ninguno
2,5.02,4.91,0.94,48.52,16.97,51.24,28.11,1.0,3861.69,0,Ninguno
4,8.47,1.6,3.2,9.65,15.25,257.55,26.56,1.01,213.46,0,Ninguno
3,5.17,0.93,2.11,9.72,16.93,161.94,36.12,1.64,162.88,0,Ninguno
1,8.12,2.94,3.26,49.55,39.45,30.03,34.98,1.5,1981.23,0,Ninguno
4,4.61,3.92,2.93,7.84,22.73,63.02,33.57,1.45,36.32,0,Ninguno
2,4.79,4.45,0.34,8.36,28.12,89.36,34.87,1.49,3335.3,0,Ninguno
3,6.3,1.04,3.31,37.95,32.19,281.31,33.0,1.48,3307.86,0,Ninguno
3,4.88,3.21,3.01,49.87,19.21,173.73,5.9,1.45,2854.56,0,Ninguno
2,7.26,2.96,1.6,5.2,15.89,102.14,37.81,1.24,1140.17,0,Ninguno
3,6.41,0.84,2.61,39.3,26.4,171.49,13.55,1.27,2663.8,0,Ninguno
4,4.86,4.24,0.13,46.28,9.17,187.85,29.71,1.27,3919.93,0,Ninguno
2,5.62,4.49,2.48,30.8,22.04,33.76,13.05,1.23,162.71,0,Ninguno
3,6.15,3.3,3.76,49.44,29.49,173.51,25.8,1.65,2119.92,0,Ninguno
2,7.97,1.08,0.24,41.74,13.74,299.56,38.82,1.4,1503.54,0,Ninguno
3,6.47,2.02,2.85,34.71,6.24,282.13,19.27,1.62,1670.99,0,Ninguno
3,7.98,0.63,0.62,31.91,28.62,68.78,31.54,1.69,1484.01,0,Ninguno
2,8.49,1.76,0.74,38.0,30.63,51.74,29.49,1.46,2134.83,0,Ninguno
4,7.04,3.91,1.21,10.05,28.25,281.45,10.89,1.53,3682.62,0,Ninguno
2,7.74,1.86,0.78,10.7,18.94,261.49,17.87,1.18,2149.15,0,Ninguno
3,4.75,1.8,2.41,23.49,17.84,243.39,11.63,1.19,1662.45,0,Ninguno
4,8.41,3.39,1.65,46.07,33.93,82.03,19.55,1.06,383.52,0,Ninguno
2,8.02,3.3,2.45,25.16,23.01,217.34,16.09,1.56,3528.42,0,Ninguno
4,5.85,0.76,1.03,49.69,30.74,44.82,30.41,1.62,854.53,0,Ninguno
4,8.31,2.12,0.76,48.4,9.17,231.8,38.32,1.11,2428.78,0,Ninguno
3,4.72,4.96,2.43,46.9,33.32,73.79,16.69,1.28,424.06,0,Ninguno
1,4.82,2.14,3.56,46.71,10.08,151.25,14.91,1.23,340.61,0,Ninguno
3,6.34,4.23,2.11,47.04,18.06,28.99,17.51,1.47,744.53,0,Ninguno
1,5.26,1.3,1.46,6.0,13.24,151.76,18.2,1.1,3530.73,0,Ninguno
4,6.26,2.71,3.91,31.8,7.13,63.67,29.48,1.27,1861.85,0,Ninguno
1,7.24,0.57,0.65,47.65,14.64,201.32,22.56,1.46,2500.64,0,Ninguno
4,8.0,1.27,1.36,28.13,14.02,127.28,6.05,1.56,1900.3,0,Ninguno
4,8.2,1.32,0.8,27.8,12.98,113.64,29.98,1.22,1980.12,0,Ninguno
4,5.58,2.29,3.96,36.2,9.48,60.58,35.72,1.63,2363.43,0,Ninguno
2,8.41,0.98,3.32,25.64,23.94,108.08,11.93,1.0,1919.18,0,Ninguno
2,4.77,3.43,3.79,25.79,17.92,128.79,8.23,1.22,672.1,0,Ninguno
2,8.33,1.41,1.47,22.93,10.51,194.24,5.09,1.59,3001.72,0,Ninguno
3,7.89,0.55,0.59,49.01,23.66,257.24,35.23,1.61,2247.28,0,Ninguno
3,5.41,1.8,3.6,7.02,21.82,272.23,36.56,1.63,3079.22,0,Ninguno
2,7.01,1.85,3.68,21.49,34.01,59.74,30.25,1.29,1648.0,0,Ninguno
2,7.38,1.0,3.01,21.72,37.84,34.63,35.14,1.24,112.85,0,Ninguno
4,4.66,2.16,0.29,49.35,9.06,169.13,8.55,1.28,3170.26,0,Ninguno
3,5.2,4.87,0.53,8.51,6.09,177.13,17.1,1.2,3736.91,0,Ninguno
4,7.44,4.5,3.12,14.93,5.81,52.8,39.7,1.41,3493.73,0,Ninguno
2,6.11,0.95,2.76,9.19,18.16,75.15,33.69,1.27,2350.86,0,Ninguno
2,4.79,3.74,3.62,8.98,29.95,257.22,30.74,1.41,1184.76,0,Ninguno
2,8.03,1.79,3.0,7.41,13.73,58.15,37.61,1.33,1509.03,0,Ninguno
3,7.59,2.82,0.49,10.54,27.87,224.52,14.99,1.14,1647.23,0,Ninguno
4,4.75,4.57,3.02,29.94,31.74,26.36,37.7,1.44,925.03,0,Ninguno
2,8.5,1.46,2.76,36.12,15.02,42.0,13.38,1.4,1852.33,0,Ninguno
1,6.91,1.94,3.23,32.35,12.3,48.41,35.88,1.09,1984.69,0,Ninguno
4,6.2,2.84,0.76,49.49,16.64,269.37,5.55,1.05,1754.35,0,Ninguno
2,7.84,4.21,3.04,10.83,32.59,215.37,18.53,1.67,1890.36,0,Ninguno
2,5.57,4.15,2.67,6.03,30.25,153.79,25.99,1.06,2745.12,0,Ninguno
4,6.82,4.88,3.14,7.79,24.14,27.29,18.54,1.53,2851.89,0,Ninguno
1,7.63,1.53,1.82,6.22,25.65,51.7,27.88,1.36,2256.95,0,Ninguno
1,8.38,3.13,1.19,18.04,6.99,131.59,29.33,1.62,983.83,0,Ninguno
1,4.58,2.95,1.09,8.11,8.21,182.31,5.54,1.07,3634.07,0,Ninguno
1,5.98,2.15,1.86,28.03,15.33,234.1,6.63,1.55,2608.69,0,Ninguno
1,4.6,2.29,0.58,46.61,9.47,60.88,16.79,1.23,2850.78,0,Ninguno
2,8.14,1.81,3.39,44.78,24.12,62.37,37.06,1.15,2341.72,0,Ninguno
4,8.38,2.45,1.57,48.42,36.44,250.24,26.84,1.34,3599.03,0,Ninguno
1,7.05,3.6,3.78,12.4,29.99,172.73,17.46,1.27,1321.66,0,Ninguno
2,7.1,3.63,1.35,48.96,5.32,118.03,24.88,1.17,3814.03,0,Ninguno
2,8.27,2.73,2.73,15.54,23.41,131.62,25.18,1.68,1139.37,0,Ninguno
4,5.06,4.39,1.37,9.69,27.08,115.77,24.01,1.25,3563.42,0,Ninguno
