tipo_suelo,pH,materia_organica,conductividad,nitrogeno,fosforo,potasio,humedad,densidad,altitud,fertilidad,cultivo
1,7.03,3.05,1.53,54.02,18.61,254.72,20.03,1.29,1153.34,1,Cafe
2,6.55,4.83,2.62,48.44,11.83,132.28,44.04,1.78,1191.76,1,Cafe
4,6.82,2.4,1.41,30.46,15.78,344.31,10.1,1.63,259.0,1,Maiz
3,5.76,2.67,2.78,29.09,37.38,102.93,18.38,1.64,1961.09,1,Cafe
3,7.77,3.53,0.14,17.62,40.66,276.28,17.68,1.43,2876.48,1,Cebolla
2,6.28,4.72,1.92,21.39,16.97,270.18,15.34,1.52,983.27,1,Cafe
1,6.67,4.26,1.21,38.96,39.4,271.19,32.89,1.28,3399.26,1,Papa
3,7.38,3.37,2.81,31.71,11.35,88.67,27.76,1.13,1549.23,1,Cafe
4,7.6,5.3,0.34,29.16,14.16,149.01,31.42,1.62,1113.79,1,Cafe
2,7.13,3.29,1.64,17.04,9.02,335.15,25.8,1.69,2509.1,1,Cebolla
1,7.34,2.02,1.11,14.78,14.16,69.9,38.19,1.26,2445.08,1,Cebolla
4,7.75,4.14,2.14,42.92,27.73,259.22,39.48,1.46,993.13,1,Cafe
1,6.53,1.98,0.82,44.22,40.21,170.34,16.77,1.21,1456.87,1,Cafe
4,7.39,2.32,0.63,34.88,15.48,270.97,34.9,1.24,189.51,1,Maiz
2,7.98,4.36,1.34,49.64,43.84,215.2,10.59,1.37,4475.98,1,Cebada
1,5.89,2.57,2.68,37.79,37.46,95.33,14.81,1.23,1300.92,1,Cafe
4,6.89,2.34,0.41,33.57,35.25,169.27,42.65,1.3,2242.89,1,Cebolla
1,7.7,3.52,0.23,48.32,39.1,213.75,41.52,1.74,3255.88,1,Papa
3,6.98,4.82,1.35,14.19,27.97,109.41,16.19,1.14,2287.74,1,Cebolla
3,7.48,4.44,2.51,29.9,10.89,206.68,25.25,1.32,3763.29,1,Cebolla
1,8.62,2.06,0.77,31.77,28.09,257.33,43.69,1.22,3393.1,1,Papa
2,6.43,4.25,1.32,28.4,39.68,318.43,22.5,1.58,1200.69,1,Cafe
1,6.15,3.53,1.66,25.74,18.1,66.58,16.08,1.27,2629.38,1,Cebolla
3,8.45,4.1,1.71,44.24,21.8,188.11,39.89,1.09,3860.8,1,Papa
1,7.44,2.35,0.21,41.0,39.22,172.82,27.27,1.24,3505.44,1,Papa
3,7.77,4.98,0.85,46.25,40.62,178.35,12.29,1.37,3523.23,1,Cebolla
2,6.16,4.84,0.2,35.66,21.1,276.97,11.15,1.2,4125.93,1,Cebada
3,7.71,2.57,2.02,59.05,26.95,342.29,36.68,1.46,3442.71,1,Papa
4,7.28,2.92,0.15,39.68,43.7,69.82,27.08,1.41,246.92,1,Maiz
4,7.84,4.32,0.52,23.94,22.13,264.55,30.64,1.81,4435.25,1,Cebada
4,6.96,5.39,2.42,32.93,39.37,237.0,29.95,1.15,887.21,1,Cafe
2,8.26,3.88,1.78,18.12,42.85,320.14,39.29,1.44,4246.05,1,Cebada
4,6.88,3.13,1.92,30.71,26.03,185.82,24.32,1.19,1425.74,1,Cafe
1,7.37,2.16,1.79,40.76,29.7,305.0,10.19,1.49,236.58,1,Maiz
3,7.48,2.61,2.15,34.06,17.6,175.93,32.69,1.74,1792.71,1,Cafe
1,7.23,3.08,0.66,53.97,37.57,134.47,30.53,1.46,1055.33,1,Cafe
1,8.24,2.48,2.53,37.51,19.0,320.93,21.49,1.49,3376.72,1,Papa
4,8.38,5.32,1.79,44.0,24.74,114.03,32.64,1.38,3281.24,1,Papa
1,7.23,4.86,1.19,37.44,37.16,68.04,11.2,1.25,2151.24,1,Cebolla
2,7.25,2.52,2.66,40.76,25.88,312.96,11.39,1.65,3715.43,1,Papa
2,6.24,1.88,1.12,26.07,18.35,150.49,25.38,1.68,1357.48,1,Cafe
3,7.39,3.63,0.43,51.86,15.27,128.1,28.05,1.62,2303.61,1,Cebolla
2,6.81,3.28,0.99,20.82,14.26,94.63,10.03,1.3,1624.84,1,Cafe
1,8.47,4.02,0.65,30.63,17.49,165.1,32.77,1.51,2251.88,1,Cebolla
3,6.06,4.12,0.67,43.5,35.66,163.55,12.84,1.68,4322.46,1,Cebada
2,8.3,2.07,1.27,35.37,15.4,320.18,31.14,1.65,3523.41,1,Zanahoria
2,7.2,4.28,1.33,16.49,18.36,133.6,9.5,1.29,861.3,1,Cafe
1,7.1,2.74,1.43,46.66,13.04,291.78,36.98,1.11,2893.48,1,Cebolla
2,6.34,4.27,0.36,37.18,40.51,225.36,40.04,1.5,1377.28,1,Cafe
4,8.01,4.8,1.49,19.08,39.51,282.48,32.56,1.69,2370.96,1,Cebolla
4,5.84,3.47,0.21,37.46,42.02,155.93,23.31,1.23,348.05,1,Maiz
4,6.83,4.42,2.79,16.82,37.71,268.39,34.37,1.78,3762.91,1,Cebada
2,7.72,5.66,0.72,19.34,31.51,147.85,28.11,1.41,2380.07,1,Cebolla
2,6.42,4.82,0.61,15.62,26.31,194.79,10.88,1.63,3896.8,1,Papa
1,6.49,3.6,1.69,37.13,29.21,263.86,19.75,1.46,1145.94,1,Cafe
1,7.56,5.7,1.53,24.03,37.66,164.41,34.97,1.66,890.29,1,Cafe
4,8.21,4.21,1.53,28.96,20.66,305.9,17.27,1.35,2829.61,1,Cebolla
1,6.4,4.74,1.06,22.31,41.54,88.57,40.86,1.07,4170.91,1,Papa
3,6.51,5.11,2.28,36.6,33.28,167.81,9.25,1.73,72.15,1,Maiz
3,6.44,2.45,1.95,28.47,34.54,193.91,25.82,1.74,951.61,1,Cafe
1,7.78,2.97,1.07,26.26,32.16,269.71,17.75,1.58,3478.9,1,Papa
2,7.56,4.0,1.05,41.3,26.0,220.54,25.33,1.41,111.01,1,Maiz
4,6.32,3.71,0.79,23.91,38.21,118.68,39.06,1.25,2824.33,1,Cebolla
3,6.31,5.41,2.66,42.21,29.1,282.8,27.92,1.19,4003.97,1,Cebada
4,6.46,5.08,0.32,36.95,42.89,136.71,15.41,1.74,4380.18,1,Cebada
2,6.8,1.96,2.55,42.58,37.1,260.97,27.74,1.33,4128.49,1,Papa
3,7.58,2.88,2.15,38.71,42.05,318.41,14.5,1.38,2171.5,1,Cebolla
4,6.47,2.93,1.88,24.12,13.86,350.48,29.97,1.45,867.1,1,Cafe
3,7.84,5.22,2.15,21.27,22.87,166.56,22.88,1.57,1933.67,1,Cafe
2,6.31,3.7,0.75,51.81,10.95,73.43,17.77,1.42,4230.47,1,Cebada
3,6.21,2.47,2.07,42.13,41.14,68.32,41.73,1.54,3890.54,1,Cebada
3,7.45,5.03,1.13,30.94,15.69,97.6,19.9,1.5,1694.88,1,Cafe
4,7.31,2.53,0.67,40.27,14.22,306.81,12.53,1.34,3619.41,1,Espinaca
3,7.93,4.48,0.23,35.11,37.43,324.76,15.09,1.29,3578.65,1,Remolacha
1,5.79,5.28,1.12,29.06,22.59,113.76,30.35,1.49,1315.67,1,Cafe
4,6.56,4.87,1.37,20.11,31.57,236.88,22.93,1.43,548.46,1,Cebolla
1,7.28,1.9,1.17,25.49,16.63,194.43,14.28,1.34,674.12,1,Cebolla
2,7.25,5.05,2.54,24.59,16.4,187.63,15.0,1.17,312.02,1,Maiz
3,6.49,1.68,2.47,31.98,46.3,221.99,9.37,1.46,2592.65,1,Cebolla
3,7.34,4.65,1.39,45.17,20.83,165.81,18.67,1.29,3814.81,1,Papa
1,7.89,2.23,2.25,37.12,43.91,274.68,16.33,1.34,426.96,1,Maiz
2,8.04,4.29,0.24,22.48,34.23,226.4,30.21,1.49,1030.7,1,Cafe
1,8.46,3.25,2.71,38.99,12.24,144.74,14.09,1.22,1003.33,1,Cafe
4,6.92,4.19,1.28,14.16,38.34,267.21,25.11,1.41,971.35,1,Cafe
1,6.27,2.84,1.43,31.18,27.21,213.35,30.11,1.58,151.46,1,Maiz
4,6.97,4.48,1.1,31.14,18.23,191.47,34.41,1.13,1797.66,1,Cafe
3,6.96,1.85,1.23,25.95,14.78,193.8,14.97,1.45,1159.18,1,Cafe
3,6.32,4.0,2.5,52.1,8.73,245.31,30.79,1.75,4028.3,1,Cebada
4,8.91,3.17,1.62,38.52,18.32,125.22,21.85,1.59,1165.08,1,Cafe
4,6.11,4.5,0.18,18.21,35.48,192.48,13.45,1.11,3594.6,1,Papa
2,7.81,5.39,0.58,28.59,41.97,244.96,23.91,1.13,205.18,1,Maiz
2,8.2,4.49,1.0,35.29,12.71,340.37,31.3,1.71,3802.11,1,Cebada
3,6.03,5.26,0.38,17.99,28.95,223.95,10.91,1.61,2004.31,1,Cebolla
3,7.24,1.76,1.79,43.83,23.07,280.0,25.1,1.79,1227.02,1,Cafe
4,7.6,4.08,2.0,43.44,43.46,165.88,27.33,1.81,4360.5,1,Cebada
2,7.09,4.06,0.5,22.93,11.11,237.55,15.51,1.29,861.04,1,Cafe
3,7.26,5.18,0.72,16.22,39.87,291.22,8.81,1.55,3623.97,1,Trigo
2,7.27,5.57,2.13,23.11,28.52,237.98,21.72,1.69,412.01,1,Maiz
4,7.44,1.9,0.47,48.38,31.36,233.6,22.36,1.21,3499.67,1,Papa
4,6.06,3.5,1.04,27.71,44.2,172.64,32.27,1.48,3116.28,1,Papa
2,6.78,2.55,2.16,39.76,41.64,73.72,45.05,1.56,3911.2,1,Cebada
4,6.21,4.79,1.28,35.44,20.75,212.22,28.02,1.3,4105.41,1,Cebada
3,6.36,5.24,2.59,42.93,13.31,236.05,31.26,1.78,3003.28,1,Papa
4,6.79,3.44,2.47,13.75,27.71,177.57,37.13,1.16,3924.09,1,Papa
2,6.64,2.73,1.19,31.44,34.0,247.5,25.05,1.78,2944.64,1,Cebolla
3,9.1,2.0,0.68,25.66,38.71,315.13,30.73,1.2,2048.65,1,Cebolla
4,8.61,3.1,2.12,38.48,18.24,175.74,22.64,1.64,113.55,1,Maiz
2,7.92,5.09,2.92,44.8,12.05,187.35,23.12,1.15,2068.1,1,Cebolla
4,5.88,5.18,2.59,42.51,40.74,185.15,16.08,1.4,265.23,1,Maiz
2,6.96,4.43,1.66,43.98,13.36,76.68,31.26,1.34,704.01,1,Cebolla
2,6.92,3.95,1.57,14.16,35.89,324.65,40.11,1.7,103.09,1,Maiz
3,6.28,4.38,1.43,29.93,40.2,345.82,23.87,1.51,1208.92,1,Cafe
4,6.9,5.08,1.22,38.51,34.42,75.09,11.67,1.32,2101.67,1,Cebolla
2,7.62,5.64,1.71,54.56,31.15,293.83,22.62,1.51,4451.4,1,Cebada
1,6.55,5.19,0.88,48.83,20.07,196.73,24.86,1.81,2365.13,1,Cebolla
4,8.3,3.09,1.91,52.55,28.0,120.34,39.63,1.12,4139.68,1,Papa
1,7.89,2.15,0.93,46.35,41.62,142.16,9.44,1.38,3875.08,1,Papa
4,6.44,3.33,1.73,28.93,42.4,318.0,28.15,1.69,4155.74,1,Cebada
2,7.8,4.55,1.08,48.72,25.02,253.38,32.83,1.3,4022.38,1,Papa
2,8.2,1.8,1.45,53.36,16.15,181.79,9.8,1.8,401.48,1,Maiz
2,7.0,4.66,0.51,28.91,13.25,221.15,39.37,1.55,492.61,1,Maiz
4,7.04,2.41,0.57,27.06,17.57,65.29,27.26,1.19,3447.73,1,Papa
3,7.27,2.03,0.72,13.21,43.08,131.89,31.01,1.24,2684.04,1,Cebolla
3,6.18,4.19,0.16,31.06,16.23,254.2,16.09,1.36,1210.48,1,Cafe
4,7.26,2.75,0.71,52.62,17.61,195.74,13.19,1.46,2035.46,1,Cebolla
2,7.97,4.11,2.34,39.08,32.28,249.36,18.5,1.69,3174.13,1,Papa
3,5.86,3.32,1.7,34.36,24.62,321.82,13.48,1.69,1183.68,1,Cafe
3,8.14,4.95,1.71,56.58,33.38,191.53,15.41,1.72,437.51,1,Maiz
2,7.94,1.95,2.67,49.19,44.28,209.7,26.25,1.52,4175.89,1,Papa
2,6.65,1.8,0.38,36.04,32.99,88.26,19.28,1.74,2823.79,1,Cebolla
2,6.3,4.71,1.55,54.74,45.53,115.5,11.71,1.74,2196.8,1,Cebolla
4,6.38,4.03,1.09,20.55,31.09,146.16,33.2,1.53,3759.7,1,Trigo
3,7.82,4.52,1.98,15.59,13.42,232.21,24.41,1.08,472.01,1,Maiz
2,8.09,4.27,2.43,51.21,31.56,127.61,12.2,1.58,26.1,1,Maiz
1,6.69,2.07,1.27,33.04,28.36,294.84,22.16,1.32,320.89,1,Maiz
3,7.43,3.95,1.15,42.16,26.55,229.27,25.12,1.39,114.85,1,Maiz
4,7.16,3.72,0.25,18.38,31.65,311.97,38.64,1.45,2825.38,1,Cebolla
3,7.88,3.47,2.73,25.08,41.99,188.89,35.94,1.77,1382.23,1,Cafe
1,6.02,3.31,1.93,20.51,34.28,126.97,39.49,1.58,3488.93,1,Papa
1,6.14,2.12,0.76,16.58,29.8,69.64,44.09,1.63,2908.74,1,Cebolla
3,6.61,4.02,0.49,21.87,11.46,232.61,16.64,1.31,855.16,1,Cafe
1,8.37,4.96,2.71,24.93,21.33,179.87,12.58,1.35,4033.91,1,Cebada
3,7.03,5.21,1.83,14.43,34.72,220.94,39.68,1.6,4325.61,1,Cebada
4,7.12,4.59,2.02,56.19,21.11,162.28,31.6,1.76,664.26,1,Cebolla
1,6.1,3.89,2.38,27.42,10.64,126.32,33.28,1.49,4310.23,1,Cebada
2,7.86,4.0,1.09,14.09,29.9,120.93,10.33,1.62,2108.97,1,Cebolla
4,6.46,4.8,2.39,14.86,40.16,232.45,24.17,1.38,1992.13,1,Cafe
2,7.9,2.88,0.87,22.42,22.53,311.55,37.7,1.49,343.15,1,Maiz
1,8.64,5.22,1.66,39.48,19.51,242.84,18.9,1.36,2940.49,1,Cebolla
3,8.54,2.31,1.13,29.97,36.45,212.69,28.44,1.45,3120.37,1,Papa
4,8.4,3.31,0.18,18.13,45.17,278.89,35.24,1.22,1047.91,1,Cafe
4,8.18,2.31,2.58,44.71,44.64,304.34,16.55,1.18,457.23,1,Maiz
1,8.28,2.57,2.2,46.55,39.92,120.41,15.59,1.38,973.27,1,Cafe
1,7.43,1.76,0.38,32.79,17.67,212.52,43.97,1.69,1904.52,1,Cafe
1,5.62,4.14,0.37,39.37,39.23,223.62,39.1,1.57,1441.08,1,Cafe
3,6.46,4.69,1.17,29.47,34.03,109.68,30.71,1.28,711.05,1,Cebolla
3,7.82,2.52,1.07,46.22,21.68,321.57,9.73,1.18,3985.33,1,Cebada
1,6.49,3.86,2.14,27.79,10.53,331.49,32.61,1.23,3985.14,1,Cebada
1,7.55,3.51,1.55,50.19,20.37,64.69,8.4,1.32,3837.57,1,Cebolla
2,5.82,3.28,2.82,31.77,18.79,317.1,32.96,1.34,2104.62,1,Cebolla
4,8.19,2.58,1.18,26.67,18.91,166.53,37.54,1.63,3265.82,1,Papa
1,7.82,5.32,0.36,38.43,16.66,276.79,35.84,1.37,3838.31,1,Papa
1,6.88,3.96,1.91,44.34,11.05,237.82,19.11,1.16,820.79,1,Cafe
2,6.82,4.27,2.01,55.96,17.77,200.04,27.35,1.27,1668.71,1,Cafe
2,8.43,4.49,1.61,43.64,34.28,138.63,34.7,1.3,2951.7,1,Cebolla
1,7.18,5.0,2.5,42.54,36.09,116.54,43.96,1.18,3486.97,1,Papa
2,7.62,1.58,0.18,44.45,41.38,234.21,37.3,1.51,943.0,1,Cafe
1,8.04,2.32,1.96,48.9,13.24,188.05,41.22,1.87,1816.64,1,Cafe
3,7.84,2.19,1.63,41.87,9.53,138.49,25.37,1.17,2815.01,1,Cebolla
1,7.44,3.72,1.06,32.87,33.23,202.09,36.07,1.79,4364.88,1,Cebada
2,6.21,4.85,0.36,41.66,40.37,298.62,29.37,1.19,3270.94,1,Papa
4,8.2,5.64,1.81,28.28,29.84,91.83,25.18,1.28,3083.06,1,Papa
4,8.33,5.04,2.55,52.41,12.94,130.46,15.76,1.54,821.38,1,Cafe
3,8.27,2.92,1.34,27.93,21.63,190.76,17.2,1.05,1526.86,1,Cafe
3,8.13,2.44,0.96,23.26,34.26,129.94,21.06,1.65,1040.47,1,Cafe
2,7.04,3.13,0.15,41.5,42.12,71.8,28.49,1.33,240.31,1,Maiz
2,6.38,4.74,1.77,43.02,31.99,286.26,25.55,1.67,2569.85,1,Cebolla
3,7.56,4.67,0.91,23.24,16.64,173.51,32.16,1.59,4225.5,1,Papa
4,6.91,2.3,0.38,29.45,26.11,122.45,21.77,1.45,346.9,1,Maiz
2,6.29,3.42,1.22,17.93,36.07,164.82,41.92,1.18,3397.51,1,Papa
3,6.47,4.45,0.37,38.88,39.26,201.57,11.86,1.15,384.41,1,Maiz
1,6.28,2.26,2.2,38.62,17.13,105.37,22.09,1.56,470.83,1,Maiz
1,6.87,3.75,0.85,47.52,43.25,152.19,12.95,1.65,1431.46,1,Cafe
1,7.55,2.32,1.77,53.73,19.86,261.24,10.79,1.34,191.4,1,Maiz
3,7.64,2.75,0.88,52.06,41.44,223.49,41.89,1.46,3401.91,1,Papa
1,7.0,5.1,0.96,53.18,21.37,208.7,26.06,1.72,2281.87,1,Cebolla
1,7.01,3.51,1.94,29.38,28.6,118.06,12.48,1.21,1049.44,1,Cafe
1,6.31,1.98,0.65,35.52,19.22,317.39,9.33,1.8,4110.21,1,Cebada
1,6.77,2.86,0.38,39.74,41.12,214.5,13.16,1.42,2234.88,1,Cebolla
1,7.82,3.37,1.22,17.17,38.12,335.85,10.63,1.6,2988.69,1,Cebolla
2,8.68,3.34,1.48,22.86,34.44,276.1,24.84,1.43,2548.83,1,Cebolla
2,7.67,2.26,0.6,27.46,40.4,292.81,33.38,1.57,1900.72,1,Cafe
4,6.55,3.73,0.52,50.05,13.68,107.92,38.42,1.82,3009.23,1,Papa
2,7.58,4.4,0.35,31.14,37.35,181.77,24.79,1.82,3671.14,1,Remolacha
1,7.84,4.08,2.67,48.8,34.17,254.55,11.74,1.59,1156.84,1,Cafe
1,7.78,3.61,1.14,30.84,33.96,186.05,34.51,1.91,4188.66,1,Cebada
3,7.22,3.49,0.45,25.41,34.61,261.64,34.33,1.18,1637.11,1,Cafe
4,7.01,3.56,0.18,14.39,35.86,110.6,44.57,1.35,935.97,1,Cafe
2,6.48,3.9,0.66,42.46,32.79,164.42,12.61,1.51,4303.49,1,Cebada
4,6.23,2.61,1.67,24.64,32.24,121.17,19.17,1.09,995.47,1,Cafe
2,7.79,2.72,1.59,52.8,35.83,177.05,32.87,1.64,388.11,1,Maiz
4,6.82,1.79,0.18,32.97,25.26,67.13,17.66,1.39,900.4,1,Cafe
2,7.93,4.82,0.4,51.43,12.61,238.15,8.27,1.67,161.62,1,Maiz
3,7.73,2.68,0.71,14.58,11.72,202.43,12.08,1.64,890.55,1,Cafe
4,6.19,2.9,1.09,29.41,28.79,260.45,27.38,1.69,3110.69,1,Papa
4,7.18,3.47,2.31,37.38,9.31,193.59,19.86,1.75,246.78,1,Maiz
1,6.53,3.7,2.41,47.85,13.73,286.45,20.17,1.66,4125.28,1,Papa
2,7.89,2.96,0.59,23.05,33.09,132.64,40.37,1.76,4108.79,1,Cebada
2,8.7,5.64,0.75,41.43,40.53,310.54,15.28,1.85,551.44,1,Cebolla
4,7.62,2.48,1.6,24.13,33.78,199.92,43.64,1.52,2391.91,1,Cebolla
3,6.6,4.88,1.46,26.66,43.56,321.93,42.96,1.63,1710.01,1,Cafe
1,9.11,4.13,1.8,15.19,9.1,351.04,12.75,1.25,1067.89,1,Cafe
4,7.17,4.39,1.62,40.91,14.06,209.7,14.89,1.24,2107.06,1,Cebolla
2,6.11,3.28,0.54,35.52,30.71,234.92,40.21,1.57,3050.93,1,Papa
3,7.19,3.73,1.12,29.98,27.01,167.88,33.41,1.56,1275.44,1,Cafe
3,8.81,2.85,1.28,38.32,27.28,92.87,14.7,1.19,2604.83,1,Cebolla
2,8.1,1.73,0.52,55.09,33.92,102.31,33.03,1.18,1951.41,1,Cafe
3,6.26,4.73,0.17,52.6,21.49,107.99,35.42,1.63,19.24,1,Maiz
4,8.07,5.31,1.53,28.68,15.14,86.71,44.83,1.43,1690.08,1,Cafe
2,6.6,2.93,1.21,21.02,15.54,118.24,20.39,1.1,3443.46,1,Papa
3,6.78,3.34,1.64,33.67,41.45,312.92,27.95,1.74,4123.68,1,Cebada
2,6.44,3.68,0.64,48.47,31.51,263.52,18.28,1.86,2609.42,1,Cebolla
3,8.03,2.03,2.11,15.64,22.01,153.92,30.92,1.62,1043.12,1,Cafe
3,7.72,3.79,0.49,24.41,26.41,267.73,9.87,1.88,2527.54,1,Cebolla
2,8.02,3.82,1.02,17.09,25.83,133.11,32.22,1.68,1261.57,1,Cafe
4,8.05,3.92,1.71,32.82,26.05,125.12,32.71,1.9,1677.88,1,Cafe
2,7.18,4.05,1.21,17.04,18.3,124.85,8.87,1.32,861.61,1,Cafe
3,6.27,3.28,0.43,56.55,38.43,309.78,27.11,1.49,1982.75,1,Cafe
4,6.55,2.2,0.47,29.93,30.97,253.91,37.01,1.48,4080.14,1,Papa
2,7.1,2.15,0.68,27.38,12.81,250.2,40.75,1.61,3448.06,1,Papa
4,6.7,1.58,0.17,44.59,17.95,224.64,18.37,1.74,4128.12,1,Cebada
4,6.35,4.04,2.55,49.56,8.73,264.96,31.11,1.73,3950.73,1,Cebada
3,6.88,5.48,0.77,42.46,19.05,305.03,37.41,1.42,2967.57,1,Cebolla
1,7.67,3.53,0.4,50.36,15.0,120.77,27.94,1.63,2324.97,1,Cebolla
3,7.79,4.08,2.15,41.33,43.58,294.63,37.47,1.45,364.3,1,Maiz
1,7.8,3.52,1.11,16.62,25.15,123.41,31.39,1.73,1299.76,1,Cafe
4,8.24,5.48,0.57,43.06,29.54,129.13,33.77,1.3,1786.19,1,Cafe
1,7.78,3.13,1.81,20.3,24.92,76.59,23.22,1.53,378.71,1,Maiz
4,6.57,3.9,1.71,25.9,13.33,309.78,28.18,1.49,2387.78,1,Cebolla
4,6.78,4.13,1.99,47.37,17.42,192.21,25.87,1.17,1694.5,1,Cafe
4,7.56,3.29,0.73,22.6,33.71,197.53,35.05,1.12,3549.25,1,Remolacha
2,7.74,3.33,2.06,31.51,37.32,277.72,41.11,1.81,3787.67,1,Cebolla
2,8.58,5.1,1.25,38.95,42.4,235.68,35.05,1.31,3416.02,1,Papa
2,9.04,3.78,1.24,22.75,13.24,259.64,42.57,1.35,269.58,1,Maiz
3,7.25,5.55,1.21,28.22,18.83,232.96,11.49,1.09,187.83,1,Maiz
3,6.07,4.72,1.94,27.96,41.75,158.23,37.36,1.42,2440.26,1,Cebolla
2,7.9,2.83,2.54,21.97,42.94,112.42,24.97,1.67,1264.75,1,Cafe
2,8.71,3.87,2.47,54.8,32.1,176.01,24.37,1.47,1019.82,1,Cafe
4,8.06,3.43,2.57,30.18,12.29,87.9,29.21,1.16,1515.78,1,Cafe
3,7.09,4.81,2.45,45.57,12.21,282.89,43.46,1.8,3546.91,1,Lechuga
4,6.55,2.46,2.06,27.14,13.39,228.57,32.21,1.62,3580.36,1,Papa
2,7.02,4.44,2.26,37.89,34.84,170.66,22.66,1.74,4085.38,1,Papa
2,8.21,3.16,0.77,24.15,12.91,87.51,29.67,1.6,3156.42,1,Papa
2,8.49,1.85,2.71,14.88,41.03,291.19,25.71,1.31,1257.61,1,Cafe
3,7.85,2.78,1.57,25.61,25.19,177.7,25.3,1.07,509.11,1,Cebolla
4,7.34,5.07,2.32,36.9,30.34,92.58,19.51,1.43,3446.71,1,Papa
2,6.03,5.7,1.19,14.01,33.63,209.72,8.93,1.41,3256.01,1,Papa
1,7.47,2.79,0.67,13.35,11.53,210.67,12.27,1.51,955.14,1,Cafe
4,7.35,3.53,0.41,49.49,16.11,132.05,27.87,1.8,2252.95,1,Cebolla
2,7.29,2.87,2.23,18.69,34.09,305.73,8.76,1.53,2402.48,1,Cebolla
2,8.71,4.97,1.49,26.05,13.6,74.9,25.62,1.79,3501.18,1,Lechuga
4,8.72,3.07,2.58,16.34,9.71,128.16,16.23,1.5,4044.85,1,Cebada
1,7.54,4.61,1.58,47.68,10.55,150.07,18.01,1.1,3885.06,1,Papa
1,6.74,5.39,2.34,41.17,9.52,176.88,26.52,1.69,2953.15,1,Cebolla
1,8.48,3.55,2.51,26.66,35.59,298.72,31.81,1.31,1623.34,1,Cafe
1,7.01,3.77,2.08,32.27,17.83,218.82,28.02,1.32,1557.95,1,Cafe
1,8.19,2.3,2.15,36.95,41.87,263.16,17.76,1.36,404.62,1,Maiz
2,6.11,4.39,0.16,29.86,17.18,249.79,15.32,1.39,1266.3,1,Cafe
4,8.34,2.16,1.39,52.77,17.0,213.57,31.39,1.68,2709.48,1,Cebolla
1,7.69,1.71,0.16,45.7,42.82,238.73,38.31,1.62,982.72,1,Cafe
2,7.26,3.85,2.01,15.0,25.69,169.52,12.43,1.05,296.68,1,Maiz
2,7.65,4.17,1.56,15.22,14.9,185.11,28.98,1.45,2462.41,1,Cebolla
4,6.97,2.14,2.37,23.07,10.88,254.95,31.18,1.34,167.21,1,Maiz
1,6.79,3.36,0.86,32.84,37.74,78.32,28.34,1.13,2699.84,1,Cebolla
4,6.27,4.96,1.33,52.05,42.74,169.33,15.06,1.41,1754.57,1,Cafe
1,6.89,2.01,1.98,44.03,15.56,213.19,20.43,1.09,3684.72,1,Cebada
1,6.28,2.5,0.21,13.82,25.25,194.42,24.75,1.31,469.13,1,Maiz
4,8.08,3.97,1.86,52.97,16.54,239.28,42.5,1.34,289.48,1,Maiz
